,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,22.17,73,100,3.69,PF,1663126466
1,Pouébo,-20.4,164.5667,25.42,67,37,0.66,NC,1663126466
2,Port Blair,11.6667,92.75,29.02,74,75,5.14,IN,1663126466
3,Kisi,9.0833,3.85,21.27,99,77,1.46,NG,1663126468
4,Mataura,-46.1927,168.8643,10.27,72,90,2.33,NZ,1663126468
5,Abu Samrah,35.3029,37.1841,21.74,77,0,3.69,SY,1663126469
6,Port Alfred,-33.5906,26.891,14.23,77,0,5.77,ZA,1663126469
7,Bredasdorp,-34.5322,20.0403,9.18,90,0,2.07,ZA,1663126470
8,Lebu,-37.6167,-73.65,8.46,86,49,1.45,CL,1663126471
9,Vaini,-21.2,-175.2,28.09,69,75,3.6,TO,1663126471
10,Hobart,-42.8794,147.3294,15.14,47,20,7.2,AU,1663126201
11,Pāsighāt,28.0667,95.3333,27.6,87,94,0.9,IN,1663126472
12,Saint George,37.1041,-113.5841,23.13,71,0,2.06,US,1663126472
13,Três Lagoas,-20.7511,-51.6783,25.47,58,72,5.23,BR,1663126473
14,Thinadhoo,0.5333,72.9333,27.48,70,8,2.51,MV,1663126473
15,Jamestown,42.097,-79.2353,15.95,78,0,3.09,US,1663126473
16,Leshukonskoye,64.8989,45.7622,9.04,90,97,2.9,RU,1663126474
17,Yulara,-25.2406,130.9889,27.72,28,56,4.45,AU,1663126474
18,Jalu,29.0331,21.5482,23.0,53,0,3.52,LY,1663126474
19,Ushuaia,-54.8,-68.3,4.81,70,20,8.75,AR,1663126475
20,Hithadhoo,-0.6,73.0833,27.49,70,0,2.64,MV,1663126476
21,Verkhnyaya Inta,65.9811,60.3094,7.37,91,100,6.9,RU,1663126476
22,Fortuna,40.5982,-124.1573,14.49,88,55,1.39,US,1663126477
23,Touros,-5.1989,-35.4608,23.44,88,30,4.96,BR,1663126478
24,Tiksi,71.6872,128.8694,5.08,81,99,1.62,RU,1663126478
25,Arraial do Cabo,-22.9661,-42.0278,20.61,89,63,4.14,BR,1663126479
26,Nhulunbuy,-12.2333,136.7667,30.34,62,75,7.2,AU,1663126479
27,Punta Arenas,-53.15,-70.9167,3.06,81,40,5.66,CL,1663126480
28,Barrow,71.2906,-156.7887,2.01,93,100,9.77,US,1663126262
